Delay Time (ms),Max Amp (V)
0.1,9
1.1,7.44
2.1,6.16
3.1,4.92
4.1,3.84
5.1,2.88
6.1,1.96
7.1,0.8
8.1,0.96
9.1,1.86
10.1,2.48
11.1,3.12
12.1,3.64
13.1,4.08
14.1,4.52
15.1,5
16.1,5.36
17.1,5.66
18.1,5.98
19.1,6.28
20.1,6.48
21.1,6.76
22.1,7.04
23.1,7.16
24.1,7.32
25.1,7.56
26.1,7.64
27.1,7.76
28.1,7.96
29.1,8.04
30.1,8.12
31.1,8.16
32.1,8.24
33.1,8.36
34.1,8.48
35.1,8.56
36.1,8.56
37.1,8.64
38.1,8.64
39.1,8.72
40.1,8.8
